с/т 69426|11.189 6723 ['сфæлынддзысты', 'дегустацимæ",', 'эстерсунды', 'постытӕ.', 'историимӕ"', 'раздæхтысты', 'сталинградаг,', 'ахастыл', 'бӕстыхӕйттӕн', 'хæстимæ']
к/л 1159|0.187 289 ['киноклассикӕйӕ', '"спектакль', 'приключения', 'классикы', 'спектакль,', 'спектакльты', 'клоунтæ.', 'поликлиникӕмӕ",', 'цикл.', '"клиентӕн",']
з/з 1148|0.185 171 ['уæззау,', 'гӕззаты', 'баззайдзæн', 'кавказзонджыты', 'уӕззау', 'фӕззӕгӕй', 'баззайынц.', 'баззадис', 'баззайгӕ', 'аззад",']
н/хъ 1144|0.184 218 ['айриянхъырымаг', 'багианарӕнхъахъхъӕнджытӕ', 'рӕнхъытӕй', 'ӕнӕмӕнхъӕуӕг', 'æнхъæлцау', 'рæнхъыты,', 'ӕнхъарӕнтӕм', 'ӕнӕнхъӕлӕджы,', 'рæнхъытæ,', 'æнæнхъæлæджы.']
р/к 1140|0.184 402 ['æркæнынц",', '‘ркарстой,', 'пассажиркæ', 'æркæсын', 'наркоуӕйгӕнӕгӕй', 'нью-йоркы.', 'нью-йорк,', 'туркæй', 'старков', 'паркæй",']
ф/ф 1136|0.183 176 ['уынаффæйæн,', 'ныффысдзæн', 'ныффыссой,', 'уынаффӕгӕнӕгӕй.', 'ныффыссӕн', 'эффективондӕрӕй.', 'уынаффӕгӕнӕг.', 'эффективонæйдæр.', 'коэффиценты.', 'уынаффæйы']
р/р 1090|0.176 163 ['территориты', 'контртеррористон', 'торрес', 'попурри.', 'территорийы', 'террористон', 'террористы".', '"терроризм', 'территоримӕ', '"сыррамӕ']
л/х 1088|0.175 316 ['дæлхайадмæ', 'ӕлхӕнджытӕн', 'балхæныныл', 'гироскутерылхуссар', 'къухылхӕцӕг', 'балхæндзæн,', 'ӕлхӕд', 'дæлхæйттæй', 'колхозы', 'балхӕдта,']
л/ц 986|0.159 172 ['"алцыдӕр', 'цхинвал-хъалцентӕйыл', 'сцалцӕггонд', 'балцытӕ,', 'æнхъæлцау', 'цалцӕджы', '′сцалцӕг', 'балц,', 'алцӕмӕн', 'балцытæ']
с/т/д 973|0.157 103 ['цæстдарджыты', 'ӕрмӕстдӕр1,5', '"цӕстдарджытӕй', 'цæстдарджытимæ.', '(æрмæстдæр', '"растдон",', 'рӕстдинонтыл",', 'рæстдиныл', '"æрмæстдæр', 'рæстдин.']
р/т/с/м 963|0.155 86 ['спортсменкӕйӕн', '"спортсментӕ', 'спортсменка', 'спортсменкӕты', 'спортсментæм,', 'спортсментыл.', '"спортсментæ', 'спортсменткӕтӕ', 'спортсменкæтæ', '(спортсментæ-олимпиæгтæ']
с/н 949|0.153 257 ['красногоры', 'æрмдæсныйæн', 'краснодарæй.', 'дæсниадыл,', 'снысангонд', 'дӕсныйадыл', 'сног', 'дæсны', 'сандуцакрасносельский', 'снюс']
г/м 931|0.15 232 ['рæстæгмæдарæн', 'хъуыддагмӕ.', 'ӕрдӕгмиллион', 'хъусинагмӕ', 'рӕстӕгмӕ-иу', 'нӕлгоймагмӕ', 'чиныгмæ.', 'уæрæсейагмæ.', 'хъусынгæнинагмæ', 'фадыгмæ",']
л/д/т 925|0.149 139 ['ныккалдта', 'рамбылдтай', 'зылдтӕм', 'фембылдтæн', 'ӕрӕвнӕлдтой,', 'фембӕлдтӕн', 'фехӕлдтимӕ:', 'фембæлдтæй', 'ӕрзылдтӕн.', 'фембӕлдтӕм']
г/б 923|0.149 101 ['"бæрæгбонон', 'бӕрӕгбонмӕ",', 'бæрæгбоны,', 'бæрæгбæттæ,', 'бæрæгбонын', 'бӕрӕгбоны.', 'бæрæгбон', 'бæрæгбæтты', 'бӕрӕгбонмӕ', 'бæрæгбæттты']
с/х 912|0.147 205 ['хъæбысхæст', 'схос', 'схемæмæ', 'хъӕбысхӕстӕн,', 'схонын', 'схемæйыл.', 'схонын.', 'фасхӕцджыты', 'схемӕ,', '"схæлар"']
м/г 899|0.145 209 ['æмгуыстад",', 'нæмгуытæ', 'азымгондтӕ,', '′мгуыстгæнджыты', 'ӕмгуыстадыл",', 'тыхдымгӕ,', 'сӕрамгонд', 'азымгондмæ', 'æмгуыстадыл,', 'не`мгуыстад']
т/м 853|0.137 176 ['куыстуатмӕ', 'сахатмӕ.цӕгат', '"ритмы', 'атмосферӕ', 'амæлæтмæ",', 'горæтмæ.', 'эльхотмӕ', 'атмосферӕйы.', 'факультетмæ.', 'гогетмæ']
н/ч 790|0.127 142 ['рынчындæттæм.', 'росбанчы', 'нацбанчы', 'банчыты.', 'рынчынтæн",', 'рынчындоны",', 'демьянчукфыдыбæстæ', 'рынчыты', 'рынчынтæм,', 'рынчынты']
з/дж 790|0.127 138 ['чызджытыл.', 'аразджытӕй.', 'чызджы,', 'хӕбизджынты', 'проектаразджытæн,', 'хъазджытӕ".', 'чызджытӕ,', 'чызджытӕй', 'уазджытӕй', 'уæзджын']
д/р 774|0.125 213 ['чудра",', 'фыдракӕндты', 'адресы.', 'дружининуф', 'гидроэлектростанц', 'адреналин.', 'адрестыл', '"кадрон', 'дренажон-коллекторон', 'адресыл']
м/т 753|0.121 238 ['дипломтӕ,', 'къуымтыл,', 'дам-думтæй",-', 'режимтæм', 'топонимтӕ,', 'костюмтæ', 'дам-думтӕ,', '"ахæмты', 'замтаретæй', 'меморандумтæ.']
д/хъ 751|0.121 52 ['барадхъахъхъæг', 'барадхъахъхъӕнӕнг', 'æнæниздзинадхъахъхъæнынады', 'барадхъахъхъæнджытæм', '"барадхъахъхъӕнджыты', '"барадхъахъхъæнæг', 'барадхъахъхъæнæджы', 'хæдхъом', 'ӕнӕниздзинадхъахъхъӕныны', 'мидхъуыддаг,']
в/в 735|0.118 104 ['ʻвварсхæцджытæм', 'ӕввахс', 'саввæ.', "'ввахсдӕр", 'æввахс', '′ввахсдӕр', 'хылыввонг', 'савва.', 'ӕвварс.', '`ввахс']
р/ф 727|0.117 117 ['арфæтæ', 'арфæгæнæг', 'арфадæй,', 'ӕрфидаргонд', 'æрфыссын', 'ӕрфидар', '"æрфарсты', 'барфысттӕ', 'æрфарстæй', 'ӕрфӕнды']
н/г/т 719|0.116 136 ['уынгтӕ",', 'барастгӕнингтӕ', 'уæнгтæ",', 'брифингтæ.', 'уынгтæм', 'ахуыргӕнингтӕ', 'фынгтæ', 'уæнгтæ,', 'митингты', 'уæнгтæн']
б/х 717|0.116 64 ['"абхазия-2015"', 'абхазӕн,', 'абхазмӕ.', 'абхазаг–уæрæсейаг', 'абхазимæ', '"абхазия-2015"-мӕ', 'футболисттæн.абхаз', 'абхазӕй,', 'абхазӕй', 'абхазаг-уæрæсейаг']
й/д/т 706|0.114 118 ['архайдтыты', 'архæйдтытæн', 'архӕйдтытӕ,', 'архайдтам,', 'асайдтой', 'бафснайдтой,', 'архайдтӕ', 'архæйдтытæм.', 'архӕйдтытӕй', 'архайдтытæй']
с/т/г 695|0.112 133 ['растгӕнӕн', 'слестгӕнджыты', 'барастгӕнинӕгты', 'бавдыстгонд', 'рахастгонд', 'ӕххæстгæнæн', 'барастгӕнингтӕ', 'слестгæнæн', 'фыдызгъæлкуыстгæнæн', 'сӕххӕстгонд']
с/м 678|0.109 246 ['хъысмӕт,', 'османы', 'фæдисмæ', 'хъуысмӕтимӕ', 'ныхасмæ', 'хъысмӕты.', 'хъысмӕтыл', 'смолов.', 'хъысмӕтӕй.', 'см),']
х/дж 674|0.109 66 ['тыхджын,', 'хорзæхджын', 'тыхджындæрты,', 'хӕдтӕхджытӕй.', 'фæтыхджындæр,', 'тыхджындӕртӕ', 'хӕдтӕхджыты', 'цæхджынтæ', 'тыхджындӕр",', 'тыхджындæр,']
й/дз 646|0.104 129 ['æнцойдзинады', 'баззайдзæн', 'фӕсайдзӕн".', 'банымайдзыстӕм', '"катайдзинад', 'архайдзыстæм', 'агайдзысты', 'ахайдзысты', 'уайдзӕфты', 'бацархайдзæн']
л/б 646|0.104 88 ['уæлбартæй.', 'ӕрвылбойнон', '"ихылбырæн', 'дӕлбар.1990-ӕм', 'æрвылбойнон', 'албортынывгӕнджыты', '"æрвылбондæр', 'ӕвылбон', 'ʻрвылбонон', 'ӕлбегаты']
к/т/т 639|0.103 163 ['пунукттӕ', 'продукттӕ,', 'продукттыл.', 'конфликттӕ', 'фотопроекттӕй', 'контракттæ', 'акттӕй.', 'проекттӕ', 'теракттӕ,', 'проекттæм.']
с/р 622|0.1 94 ['ʻсрухс', 'срæвдз', 'срӕмыгъды', 'срӕмыгъдтӕй.', 'сразыдзинад.', 'срӕмыгъд', 'срæмыгъды,', 'срӕмыгъдӕй.', 'лисрилисрийы', 'среализаци']
т/б 612|0.099 112 ['футболисттæ.', 'баскетболы', 'футболисттӕ', 'футболæй.', 'мини-футболæй.', 'ковалевмини-футболæй', 'футболуарзджытæ,', 'мини-футболы', 'футболисты,', 'футболкӕйы.']
з/г 609|0.098 150 ['аразгӕ.', 'нуазгӕ', 'фæуазг', 'саразгæ', 'бахизгӕйӕ', 'æнæбæзгæ', '"сырæзгæ', 'чызг",', 'рахизгæйæ,', 'чызгимӕ.']
х/г 608|0.098 160 ['расгуыхгæ', 'тӕхгӕйӕ,', 'сыхгæдта', 'æрæхгæд,', 'ӕрӕхгӕндзӕн', '"ӕхгӕд', 'æхгæд.', 'бухгалтеры', 'сæхгæды', 'æхгæны']
т/к 605|0.098 146 ['мутко,', 'уӕлвӕткӕй,', 'политкӕ,', 'соткӕйы,', 'суткæйы.', 'ткаченкойæн', 'цыткæнынад.', 'суткӕ', '"канаткӕ".', 'уаӕлвӕткон']
д/б 604|0.097 81 ['хæдбардзинадæн.', 'фыдбӕстӕйон', 'фыдбылызтæ', 'фыдбылызимæ', 'хæдбардзынад', 'хӕдбардзинады', 'хæдбындур', 'мидбылхудгæйæ', 'хӕдбындур', 'фыдбылызӕй.']
т/дж 575|0.093 38 ['цытджындӕр', 'къæлæтджынмæ', '"курдиатджын"', 'арæнсæтджытæ', 'къæлæтджыныл', 'барсæтджыты', 'ӕууӕнкдӕтджытӕ,', 'къæлæтджын.', '"арæнсæтджытæй', 'сахъатджын']
д/г 558|0.09 158 ['хъӕдгӕроны', 'радгӕсон', 'фыдгултӕн",', 'ахадгӕ,', 'радгӕсонты', 'мыдгæстæ', 'фидгæ', 'фыдгæнджытæн', 'зыдгонд', 'худгӕ']
р/д/г 558|0.09 107 ['ӕмбырдгондыл', 'æмбардгонд', 'бæлвырдгæнæг', 'æмбырдгæндты.', 'æмбырдгæндтæ.', 'æмбырдгонд,', 'бӕлвырдгӕнӕнтӕм', 'æмбырдгондимæ.', 'ӕмбырдгондмӕ', 558]
т/дз 557|0.09 106 ['басӕтдзыстут', 'хатдзӕг', 'хæтдзæгтæм', 'хатдзæгтæй.', 'басæтдзысты', 'хатдзæджы', 'ратдзӕн,', 'хатдзæгтимæ.', 'арвитдзыстæм', 'хатдзӕгтӕ,']
н/д/р 534|0.086 57 ['александр",', 'александра', 'кондратьев', 'эндрик,', 'андрес', 534, 'александр.facebookсовфед', 'александримæ,', '"александровский', '"александр']
н/с/т 531|0.086 114 ['констатины', 'шанстæ', 'конституци.', 531, 'финанстæ', 'шанстæ.', 'институтты', 'финанстӕ', 'институтмæ.', 'институтмæ",']
л/дз 528|0.085 158 ['ӕркӕлдзӕн.', 'ныккалдзысты', 'рамбулдзыстӕм', 'азилдзыстӕм', 528, 'бавналдзысты,', 'дæлдзырæттæй.', 'рамбулдзыстæм', 'хъӕлдзӕгдзинадӕн', 'уалдзæджы,']
х/н 521|0.084 123 [521, 'пиротехниктæ,', 'робототехникæ,', 'яхновец', 'био-технологитæ', 'техникæ,', 'техникумы.', 'зонадон-техникон,', 'технологы', 'техникӕйы:']
м/х 512|0.083 108 [512, 'мху-йы', 'уæлæмхасæн', 'ӕмхуызон,', 'æмхасæн', 'номхыгъд', 'ӕмхиц', 'уӕлӕмхасӕнтӕ.', 'номхæссæны', 'номхыгъдмӕ.']
с/ц 511|0.082 142 ['дисциплинӕты,', 'сцалцӕггонд', 'сцӕттӕмӕ', 'сценарист', 511, 'сцӕгъдынц', 'сцӕттӕ,', 'сценæмæкæсæг,', 'сценæмæкæсджытæй.', 'сцӕйцӕуӕг']
й/с/дз 505|0.081 20 ['айсдзыстæм', 'райсдзынӕн', 'райсдзыстут', 'райсдзæн.', 'райсдзыстæм', 'байсдзыстæм', 'райсдзысты', 'райсдзынæн.', 'байсдзысты', 'айсдзысты']
м/с/т/в 505|0.081 54 ['ведомствӕтӕ', 'ведомствӕты,', 'ведомствӕтӕм', 'ведомствӕ.', 'ведомствӕтимӕ', 'ведомствæ.', 'ведомствæмæ', 'ведомствӕ', 'ведомствӕйӕ', 'ведомствӕйы.']
н/с/к 499|0.08 142 ['"русско-осетинский', 'рябинскийы', 'луганскæй', 'транскамылтранскавказы', 'лнрлуганскы', 'транскамы', 'воскресенскийцæгатирыстойнаг', 'украинский",', 'саранскӕй,', 'транскавказон']
н/д/т 498|0.08 176 ['фыдракӕндты', 'ахуыргӕндтӕй.', 'ныккӕндты', 'кæндтæн', 'ахуыргӕндтӕн', 'бӕрзӕндтыл.', 'азымгондтӕ,', 'æмбырдгæндты.', 'сгуыхтдзиндтæ,', 'цыртдзæвæндтӕ",']
г/дз 496|0.08 191 ['сусæгдзинæдтæм', 'ногдзинæдтæ",', 'сусӕгдзинӕдтыл', 'бузныгдзинад.', '"сыхагдзинад"', 'æнæмæнгхъæуӕгдзинад.', 'хъуагдзинад?', '"сугдзаутӕн', 'сыгъдæгдзинад', 'ногдзинад']
м/гъ 494|0.08 58 ['дамгъӕты', 'ӕмгъуыдмæуый', 'ӕмгъуыды', 'æмгъуыд.', 'ӕмгъуыдон', 'чиныг-дамгъуат', 'ӕмгъуыдӕй', 'æмгъуыдыл', 'дамгъæтæй', 'æмгъуыдтыл.']
с/б 489|0.079 89 ['сбортæй', 'сбæлвырд', 'фæсбайкалон', 'сбормæ', 'фӕсбайкалы', 'ресбуликӕмӕ', 'росбанчы', 'сбадон,', 'сбирæ', '′сбӕлвырд']
х/ц 486|0.078 95 ['"æхцайы', '"ӕхцайы', 'ӕхцадон.', 'згъӕрӕхцаты', 'ӕнкъуыхцыйӕ.', 'ӕхцондзинад.', 'ӕхца,', 'æхцондзинадхæссæг', 'ӕхцайы', 'згъæрæхцаты']
